,Gender,Age,Annual Income,Spending Score,Income Cluster,Spending and Income Cluster
92,Male,48,60,49,1,1
93,Female,40,60,40,1,1
94,Female,32,60,42,1,1
95,Male,24,60,52,1,1
96,Female,47,60,47,1,1
97,Female,27,60,50,1,1
98,Male,48,61,42,1,1
99,Male,20,61,49,1,1
100,Female,23,62,41,1,1
101,Female,49,62,48,1,1
102,Male,67,62,59,1,1
103,Male,26,62,55,1,1
104,Male,49,62,56,1,1
105,Female,21,62,42,1,1
106,Female,66,63,50,1,1
107,Male,54,63,46,1,1
108,Male,68,63,43,1,1
109,Male,66,63,48,1,1
110,Male,65,63,52,1,1
111,Female,19,63,54,1,1
112,Female,38,64,42,1,1
113,Male,19,64,46,1,1
114,Female,18,65,48,1,1
115,Female,19,65,50,1,1
116,Female,63,65,43,1,1
117,Female,49,65,59,1,1
118,Female,51,67,43,1,1
119,Female,50,67,57,1,1
120,Male,27,67,56,1,1
121,Female,38,67,40,1,1
122,Female,40,69,58,1,1
123,Male,39,69,91,1,0
124,Female,23,70,29,1,3
125,Female,31,70,77,1,0
126,Male,43,71,35,1,1
127,Male,40,71,95,1,0
128,Male,59,71,11,1,3
129,Male,38,71,75,1,0
130,Male,47,71,9,1,3
131,Male,39,71,75,1,0
132,Female,25,72,34,1,1
133,Female,31,72,71,1,0
134,Male,20,73,5,1,3
135,Female,29,73,88,1,0
136,Female,44,73,7,1,3
137,Male,32,73,73,1,0
138,Male,19,74,10,1,3
139,Female,35,74,72,1,0
140,Female,57,75,5,1,3
141,Male,32,75,93,1,0
142,Female,28,76,40,1,1
143,Female,32,76,87,1,0
144,Male,25,77,12,1,3
145,Male,28,77,97,1,0
146,Male,48,77,36,1,3
147,Female,32,77,74,1,0
148,Female,34,78,22,1,3
149,Male,34,78,90,1,0
150,Male,43,78,17,1,3
151,Male,39,78,88,1,0
152,Female,44,78,20,1,3
153,Female,38,78,76,1,0
154,Female,47,78,16,1,3
155,Female,27,78,89,1,0
156,Male,37,78,1,1,3
157,Female,30,78,78,1,0
158,Male,34,78,1,1,3
159,Female,30,78,73,1,0
160,Female,56,79,35,1,3
161,Female,29,79,83,1,0
162,Male,19,81,5,1,3
163,Female,31,81,93,1,0
164,Male,50,85,26,2,3
165,Female,36,85,75,2,0
166,Male,42,86,20,2,3
167,Female,33,86,95,2,0
168,Female,36,87,27,2,3
169,Male,32,87,63,2,0
170,Male,40,87,13,2,3
171,Male,28,87,75,2,0
172,Male,36,87,10,2,3
173,Male,36,87,92,2,0
174,Female,52,88,13,2,3
175,Female,30,88,86,2,0
176,Male,58,88,15,2,3
177,Male,27,88,69,2,0
178,Male,59,93,14,2,3
179,Male,35,93,90,2,0
180,Female,37,97,32,2,3
181,Female,32,97,86,2,0
182,Male,46,98,15,2,3
183,Female,29,98,88,2,0
184,Female,41,99,39,2,3
185,Male,30,99,97,2,0
186,Female,54,101,24,2,3
187,Male,28,101,68,2,0
188,Female,41,103,17,2,3
189,Female,36,103,85,2,0
190,Female,34,103,23,2,3
191,Female,32,103,69,2,0
192,Male,33,113,8,2,3
193,Female,38,113,91,2,0
194,Female,47,120,16,2,3
195,Female,35,120,79,2,0
196,Female,45,126,28,2,3
197,Male,32,126,74,2,0
198,Male,32,137,18,2,3
199,Male,30,137,83,2,0
